ERM Mass,Voltage (V),Current (mA),Peak Frequency,Depth Measured (mm),Total Depth (mm),Power (mW)
5,9.00,189,134,8.1,68.3,1701
5,9.00,188,134,6.9,67.1,1692
5,9.00,188,135,5.7,65.9,1692
5,9.00,186,134,6.6,66.8,1674
5,9.00,186,134,6.1,66.3,1674
5,9.00,190,132,5,65.2,1710
5,10.50,233,150,11.8,72,2447
5,10.50,232,154,12.3,72.5,2436
5,10.50,230,150,11.4,71.6,2415
5,10.50,230,150,10.7,70.9,2415
5,10.50,229,149,11.2,71.4,2405
5,10.50,240,145,9.5,69.7,2520
5,11.70,270,160,17.6,77.8,3159
5,11.70,272,162,15.2,75.4,3182
5,11.70,267,162,14.3,74.5,3124
5,11.70,268,161,15.3,75.5,3136
5,11.70,265,163,15,75.2,3101
5,11.70,272,157,14,74.2,3182
5,12.70,293,173,17.7,77.9,3721
5,12.70,295,170,20.4,80.6,3747
5,12.70,292,172,18.7,78.9,3708
5,12.70,293,173,19.2,79.4,3721
5,12.70,292,171,19.5,79.7,3708
5,12.70,300,166,15.6,75.8,3810
5,7.80,156,121,5.1,65.3,1217
5,7.80,155,122,4,64.2,1209
5,7.80,153,121,2.1,62.3,1193
5,7.80,153,121,0.7,60.9,1193
5,7.80,155,121,1.4,61.6,1209
5,7.80,154,119,-0.2,60,1201
5,5.80,99,96,-9.1,51.1,574
5,5.80,100,95,-10.6,49.6,580
5,5.80,101,95,-10.6,49.6,586
5,5.80,99,95,-10.5,49.7,574
5,5.80,100,96,-11,49.2,580
5,5.80,100,95,-14.4,45.8,580
5,4.00,58,69,-29.1,31.1,232
5,4.00,58,70,-26.6,33.6,232
5,4.00,59,69,-28.4,31.8,236
5,4.00,59,69,-28.6,31.6,236
5,4.00,58,69,-29.3,30.9,232
5,4.00,59,69,-29.2,31,236
3,12.70,198,225,7.2,67.4,2515
3,12.70,197,225,8.8,69,2502
3,12.70,197,227,7.3,67.5,2502
3,12.70,196,225,6.2,66.4,2489
3,12.70,196,225,6.4,66.6,2489
3,12.70,193,223,5.6,65.8,2451
3,11.10,153,196,3.9,64.1,1698
3,11.10,155,198,4.8,65,1721
3,11.10,155,200,3.7,63.9,1721
3,11.10,155,197,5.7,65.9,1721
3,11.10,157,201,7.1,67.3,1743
3,11.10,157,199,7,67.2,1743
